City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,hamilton,39.1834,-84.5333,14.99,47,0,3.6,US,1699816472
268,vorgashor,67.5833,63.95,-9.51,94,18,5.05,RU,1699816473
269,aykhal,66.0,111.5,-12.2,86,100,3.15,RU,1699816473
270,serchhip,23.3,92.8333,13.07,82,1,1.32,IN,1699816473
271,peniche,39.3558,-9.3811,19.6,93,15,4.62,PT,1699816459
272,mejit,10.2753,170.8646,27.88,81,48,8.5,MH,1699816474
273,konarka,19.9,86.1167,22.22,72,98,3.06,IN,1699816474
274,guilin,25.2819,110.2864,8.59,80,100,4.79,CN,1699816474
275,fortuna,40.5982,-124.1573,14.96,80,100,0.89,US,1699816475
276,dehdasht,30.7949,50.5646,20.3,34,100,1.07,IR,1699816475
277,semporna,4.4818,118.6112,26.21,87,6,2.51,MY,1699816475
278,afaahiti,-17.75,-149.2833,27.93,82,7,3.39,PF,1699816476
279,esuk oron,4.8029,8.2534,25.38,89,80,1.72,NG,1699816476
280,pariaman,-0.619,100.12,25.25,88,100,1.33,ID,1699816476
281,sinabang,2.4803,96.3801,26.06,87,100,2.32,ID,1699816477
282,nicoya,10.1483,-85.452,29.15,78,98,2.39,CR,1699816477
283,port douglas,-16.4833,145.4667,22.8,78,43,3.58,AU,1699816477
284,fort bragg,35.139,-79.006,17.12,54,0,5.66,US,1699816477
285,daru,-9.0763,143.2092,24.41,83,39,3.94,PG,1699816478
286,shahr sultan,29.5765,71.0212,20.58,38,0,2.37,PK,1699816478
287,nemuro,43.3236,145.575,2.99,62,34,3.52,JP,1699816478
288,soledar,48.6794,38.089,10.17,66,95,11.15,UA,1699816479
289,gusinoozyorsk,51.2833,106.5,-12.94,93,24,0.61,RU,1699816479
290,afif,23.9065,42.9172,22.15,28,61,3.91,SA,1699816208
291,bodo,67.28,14.405,-0.68,56,0,11.83,NO,1699816480
292,ardakan,32.31,54.0175,17.35,30,93,2.11,IR,1699816480
293,vila franca do campo,37.7167,-25.4333,18.23,95,100,8.23,PT,1699816481
294,tsiombe,-25.3,45.4833,22.28,75,0,1.87,MG,1699816481
295,aripuana,-9.1667,-60.6333,34.96,41,67,0.91,BR,1699816224
296,bamboo flat,11.7,92.7167,25.05,94,75,0.51,IN,1699816482
297,la sarre,48.8002,-79.1996,-0.23,85,79,3.63,CA,1699816482
298,arkhangel'sk,64.5401,40.5433,-3.26,93,17,2.72,RU,1699816482
299,vorkuta,67.5,64.0,-9.37,94,15,4.87,RU,1699816483
